player_name,position,Age,market_value_eur,club,season
Georginio Rutter,Centre-Forward,24.0,30000000.0,Brighton And Hove Albion,2526
Charalampos Kostoulas,Centre-Forward,19.0,25000000.0,Brighton And Hove Albion,2526
Stefanos Tzimas,Centre-Forward,20.0,18000000.0,Brighton And Hove Albion,2526
Danny Welbeck,Centre-Forward,35.0,3000000.0,Brighton And Hove Albion,2526
Max Weiß,Goalkeeper,22.0,4000000.0,Burnley Fc,2526
Martin Dúbravka,Goalkeeper,37.0,500000.0,Burnley Fc,2526
Václav Hladký,Goalkeeper,35.0,150000.0,Burnley Fc,2526
Maxime Estève,Centre-Back,24.0,28000000.0,Burnley Fc,2526
Bashir Humphreys,Centre-Back,23.0,12000000.0,Burnley Fc,2526
Axel Tuanzebe,Centre-Back,28.0,5000000.0,Burnley Fc,2526
Hjalmar Ekdal,Centre-Back,27.0,5000000.0,Burnley Fc,2526
Joe Worrall,Centre-Back,29.0,2000000.0,Burnley Fc,2526
Jordan Beyer,Centre-Back,26.0,1500000.0,Burnley Fc,2526
Quilindschy Hartman,Left-Back,24.0,16000000.0,Burnley Fc,2526
Lucas Pires,Left-Back,25.0,4000000.0,Burnley Fc,2526
Kyle Walker,Right-Back,36.0,1500000.0,Burnley Fc,2526
Connor Roberts,Right-Back,30.0,1500000.0,Burnley Fc,2526
Lesley Ugochukwu,Defensive Midfield,22.0,22000000.0,Burnley Fc,2526
Florentino,Defensive Midfield,26.0,16000000.0,Burnley Fc,2526
James Ward-Prowse,Central Midfield,31.0,5000000.0,Burnley Fc,2526
Josh Cullen,Central Midfield,30.0,4000000.0,Burnley Fc,2526
Josh Laurent,Central Midfield,31.0,1500000.0,Burnley Fc,2526
Hannibal,Attacking Midfield,23.0,15000000.0,Burnley Fc,2526
Aaron Ramsey,Attacking Midfield,23.0,6000000.0,Burnley Fc,2526
Mike Tresor,Attacking Midfield,27.0,2000000.0,Burnley Fc,2526
Jaidon Anthony,Left Winger,26.0,20000000.0,Burnley Fc,2526
Jacob Bruun Larsen,Left Winger,27.0,4000000.0,Burnley Fc,2526
Loum Tchaouna,Right Winger,22.0,13000000.0,Burnley Fc,2526
Marcus Edwards,Right Winger,27.0,6000000.0,Burnley Fc,2526
Zian Flemming,Centre-Forward,27.0,12000000.0,Burnley Fc,2526
Lyle Foster,Centre-Forward,25.0,8000000.0,Burnley Fc,2526
Zeki Amdouni,Centre-Forward,25.0,7000000.0,Burnley Fc,2526
Armando Broja,Centre-Forward,24.0,5000000.0,Burnley Fc,2526
Michael Obafemi,Centre-Forward,25.0,600000.0,Burnley Fc,2526
Ashley Barnes,Centre-Forward,36.0,150000.0,Burnley Fc,2526
Robert Sánchez,Goalkeeper,28.0,22000000.0,Chelsea Fc,2526
Filip Jørgensen,Goalkeeper,24.0,15000000.0,Chelsea Fc,2526
Gabriel Slonina,Goalkeeper,22.0,3000000.0,Chelsea Fc,2526
Teddy Sharman-Lowe,Goalkeeper,23.0,500000.0,Chelsea Fc,2526
Levi Colwill,Centre-Back,23.0,50000000.0,Chelsea Fc,2526
Trevoh Chalobah,Centre-Back,26.0,40000000.0,Chelsea Fc,2526
Wesley Fofana,Centre-Back,25.0,28000000.0,Chelsea Fc,2526
Mamadou Sarr,Centre-Back,20.0,22000000.0,Chelsea Fc,2526
Tosin Adarabioyo,Centre-Back,28.0,16000000.0,Chelsea Fc,2526
Benoît Badiashile,Centre-Back,25.0,15000000.0,Chelsea Fc,2526
Marc Cucurella,Left-Back,27.0,50000000.0,Chelsea Fc,2526
Jorrel Hato,Left-Back,20.0,40000000.0,Chelsea Fc,2526
Caleb Wiley,Left-Back,21.0,8000000.0,Chelsea Fc,2526
Reece James,Right-Back,26.0,60000000.0,Chelsea Fc,2526
Malo Gusto,Right-Back,23.0,35000000.0,Chelsea Fc,2526
Josh Acheampong,Right-Back,20.0,25000000.0,Chelsea Fc,2526
