league,season,team,player,nation,pos,age,born,matches_played,starts,minutes,nineties,goals,assists,goal_contributions,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,goals_per90,assists_per90,ga_per90,npg_per90,npga_per90
ENG-Premier League,2122,Arsenal,Thomas Partey,GHA,MF,28.0,1993.0,24,23,2028,22.5,2,1,3,2,0,0,6,0,0.09,0.04,0.13,0.09,0.13
ENG-Premier League,2122,Aston Villa,Anwar El Ghazi,NED,"MF,FW",26.0,1995.0,9,4,386,4.3,1,1,2,0,1,1,2,0,0.23,0.23,0.47,0.0,0.23
ENG-Premier League,2122,Aston Villa,Ashley Young,ENG,"DF,FW",36.0,1985.0,24,10,1250,13.9,0,2,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14
ENG-Premier League,2122,Aston Villa,Axel Tuanzebe,COD,DF,23.0,1997.0,9,6,508,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Bertrand Traoré,BFA,FW,25.0,1995.0,9,1,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Calum Chambers,ENG,"DF,MF",26.0,1995.0,11,9,831,9.2,1,0,1,1,0,0,1,0,0.11,0.0,0.11,0.11,0.11
ENG-Premier League,2122,Aston Villa,Cameron Archer,ENG,"FW,MF",20.0,2001.0,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Carney Chukwuemeka,AUT,MF,17.0,2003.0,12,2,301,3.3,0,1,1,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3
ENG-Premier League,2122,Aston Villa,Danny Ings,ENG,FW,29.0,1992.0,30,22,1898,21.1,7,6,13,6,1,1,4,0,0.33,0.28,0.62,0.28,0.57
ENG-Premier League,2122,Aston Villa,Douglas Luiz,BRA,MF,23.0,1998.0,34,31,2715,30.2,2,3,5,2,0,0,7,0,0.07,0.1,0.17,0.07,0.17
ENG-Premier League,2122,Aston Villa,Emi Buendía,ARG,"FW,MF",24.0,1996.0,35,22,1899,21.1,4,6,10,4,0,0,1,0,0.19,0.28,0.47,0.19,0.47
ENG-Premier League,2122,Aston Villa,Emiliano Martínez,ARG,GK,28.0,1992.0,36,36,3240,36.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Ezri Konsa,ENG,DF,23.0,1997.0,29,29,2477,27.5,2,0,2,2,0,0,6,2,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2122,Aston Villa,Jacob Ramsey,ENG,MF,20.0,2001.0,34,29,2467,27.4,6,1,7,6,0,0,6,0,0.22,0.04,0.26,0.22,0.26
ENG-Premier League,2122,Aston Villa,Jaden Philogene Bidace,ENG,"FW,MF",19.0,2002.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Jed Steer,ENG,GK,28.0,1992.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,John McGinn,SCO,MF,26.0,1994.0,35,35,3090,34.3,3,4,7,3,0,0,8,0,0.09,0.12,0.2,0.09,0.2
ENG-Premier League,2122,Aston Villa,Keinan Davis,ENG,FW,23.0,1998.0,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Kortney Hause,ENG,DF,26.0,1995.0,7,4,397,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,0.23,0.23
ENG-Premier League,2122,Aston Villa,Leon Bailey,JAM,"FW,MF",23.0,1997.0,18,7,761,8.5,1,2,3,1,0,0,3,0,0.12,0.24,0.35,0.12,0.35
ENG-Premier League,2122,Aston Villa,Lucas Digne,FRA,DF,28.0,1993.0,16,16,1269,14.1,0,4,4,0,0,0,2,0,0.0,0.28,0.28,0.0,0.28
ENG-Premier League,2122,Aston Villa,Marvelous Nakamba,ZIM,MF,27.0,1994.0,16,10,904,10.0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Matt Targett,ENG,"DF,MF",25.0,1995.0,17,17,1431,15.9,1,1,2,1,0,0,2,0,0.06,0.06,0.13,0.06,0.13
ENG-Premier League,2122,Aston Villa,Matty Cash,POL,"DF,MF",23.0,1997.0,38,38,3377,37.5,4,3,7,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19
ENG-Premier League,2122,Aston Villa,Morgan Sanson,FRA,MF,26.0,1994.0,10,3,356,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Ollie Watkins,ENG,FW,25.0,1995.0,35,33,2952,32.8,11,2,13,10,1,1,7,0,0.34,0.06,0.4,0.3,0.37
ENG-Premier League,2122,Aston Villa,Philippe Coutinho,BRA,"MF,FW",29.0,1992.0,19,16,1329,14.8,5,3,8,5,0,0,0,0,0.34,0.2,0.54,0.34,0.54
ENG-Premier League,2122,Aston Villa,Robin Olsen,SWE,GK,31.0,1990.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Tim Iroegbunam,ENG,MF,18.0,2003.0,3,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Trézéguet,EGY,"FW,MF",26.0,1994.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Aston Villa,Tyrone Mings,ENG,DF,28.0,1993.0,36,35,3189,35.4,1,3,4,1,0,0,11,0,0.03,0.08,0.11,0.03,0.11
ENG-Premier League,2122,Aston Villa,Wesley Moraes,BRA,FW,24.0,1996.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Bryan Mbeumo,CMR,FW,21.0,1999.0,35,34,2905,32.3,4,7,11,3,1,1,4,0,0.12,0.22,0.34,0.09,0.31
ENG-Premier League,2122,Brentford,Charlie Goode,ENG,DF,25.0,1995.0,6,4,450,5.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Christian Eriksen,DEN,MF,29.0,1992.0,11,10,939,10.4,1,4,5,1,0,0,1,0,0.1,0.38,0.48,0.1,0.48
ENG-Premier League,2122,Brentford,Christian Nørgaard,DEN,MF,27.0,1994.0,35,35,3054,33.9,3,4,7,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21
ENG-Premier League,2122,Brentford,David Raya,ESP,GK,25.0,1995.0,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Dominic Thompson,ENG,MF,21.0,2000.0,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Ethan Pinnock,JAM,DF,28.0,1993.0,32,32,2694,29.9,1,1,2,1,0,0,1,0,0.03,0.03,0.07,0.03,0.07
ENG-Premier League,2122,Brentford,Finley Stevens,WAL,DF,18.0,2003.0,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Frank Onyeka,NGA,MF,23.0,1998.0,20,12,1045,11.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Ivan Toney,ENG,FW,25.0,1996.0,33,32,2909,32.3,12,5,17,7,5,5,8,0,0.37,0.15,0.53,0.22,0.37
ENG-Premier League,2122,Brentford,Jonas Lössl,DEN,GK,32.0,1989.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Josh Dasilva,ENG,"MF,FW",22.0,1998.0,9,2,257,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Kristoffer Ajer,NOR,DF,23.0,1998.0,24,23,1995,22.2,1,3,4,1,0,0,5,0,0.05,0.14,0.18,0.05,0.18
ENG-Premier League,2122,Brentford,Mads Bech Sørensen,DEN,DF,22.0,1999.0,11,9,835,9.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Mads Bidstrup,DEN,MF,20.0,2001.0,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Mads Roerslev,DEN,"MF,DF",22.0,1999.0,21,12,1240,13.8,1,1,2,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15
ENG-Premier League,2122,Brentford,Marcus Forss,FIN,FW,22.0,1999.0,7,1,209,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43
ENG-Premier League,2122,Brentford,Mathias Jensen,DEN,MF,25.0,1996.0,31,19,1601,17.8,0,1,1,0,0,0,0,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2122,Brentford,Mathias Jørgensen,DEN,DF,31.0,1990.0,8,6,518,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17
ENG-Premier League,2122,Brentford,Nathan Young-Coombes,ENG,FW,18.0,2003.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Pontus Jansson,SWE,DF,30.0,1991.0,37,37,3321,36.9,3,1,4,3,0,0,7,0,0.08,0.03,0.11,0.08,0.11
ENG-Premier League,2122,Brentford,Rico Henry,JAM,"MF,DF",24.0,1997.0,34,33,2776,30.8,3,0,3,3,0,0,2,0,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2122,Brentford,Saman Ghoddos,IRN,"FW,MF",27.0,1993.0,17,4,536,6.0,1,1,2,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34
ENG-Premier League,2122,Brentford,Sergi Canós,ESP,MF,24.0,1997.0,31,25,2083,23.1,3,2,5,3,0,0,8,1,0.13,0.09,0.22,0.13,0.22
ENG-Premier League,2122,Brentford,Shandon Baptiste,GRN,MF,23.0,1998.0,22,9,910,10.1,1,0,1,1,0,0,2,1,0.1,0.0,0.1,0.1,0.1
ENG-Premier League,2122,Brentford,Tariqe Fosu,GHA,"FW,MF",25.0,1995.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brentford,Vitaly Janelt,GER,MF,23.0,1998.0,31,27,2298,25.5,4,0,4,4,0,0,3,0,0.16,0.0,0.16,0.16,0.16
ENG-Premier League,2122,Brentford,Yoane Wissa,COD,FW,24.0,1996.0,30,12,1284,14.3,7,1,8,7,0,0,0,0,0.49,0.07,0.56,0.49,0.56
ENG-Premier League,2122,Brentford,Álvaro Fernández,ESP,GK,23.0,1998.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Aaron Connolly,IRL,FW,21.0,2000.0,4,1,156,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Adam Lallana,ENG,MF,33.0,1988.0,24,18,1561,17.3,0,1,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2122,Brighton,Adam Webster,ENG,DF,26.0,1995.0,22,16,1434,15.9,2,0,2,2,0,0,5,0,0.13,0.0,0.13,0.13,0.13
ENG-Premier League,2122,Brighton,Alexis Mac Allister,ARG,"MF,FW",22.0,1998.0,33,22,2123,23.6,5,2,7,3,2,3,4,0,0.21,0.08,0.3,0.13,0.21
ENG-Premier League,2122,Brighton,Dan Burn,ENG,DF,29.0,1992.0,13,12,1022,11.4,1,0,1,1,0,0,4,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2122,Brighton,Danny Welbeck,ENG,"FW,MF",30.0,1990.0,25,15,1478,16.4,6,2,8,6,0,0,0,0,0.37,0.12,0.49,0.37,0.49
ENG-Premier League,2122,Brighton,Enock Mwepu,ZAM,MF,23.0,1998.0,18,12,996,11.1,2,4,6,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54
ENG-Premier League,2122,Brighton,Evan Ferguson,IRL,FW,16.0,2004.0,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Jakub Moder,POL,"MF,FW",22.0,1999.0,28,19,1701,18.9,0,3,3,0,0,0,1,0,0.0,0.16,0.16,0.0,0.16
ENG-Premier League,2122,Brighton,Jason Steele,ENG,GK,30.0,1990.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Jeremy Sarmiento,ECU,MF,19.0,2002.0,5,1,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Joël Veltman,NED,"DF,MF",29.0,1992.0,34,33,2874,31.9,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2122,Brighton,Jürgen Locadia,CUW,FW,27.0,1993.0,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Leandro Trossard,BEL,"FW,MF",26.0,1994.0,34,32,2805,31.2,8,3,11,7,1,1,2,0,0.26,0.1,0.35,0.22,0.32
ENG-Premier League,2122,Brighton,Lewis Dunk,ENG,DF,29.0,1991.0,29,29,2573,28.6,1,0,1,1,0,0,3,1,0.03,0.0,0.03,0.03,0.03
ENG-Premier League,2122,Brighton,Marc Cucurella,ESP,"DF,MF",23.0,1998.0,35,35,3089,34.3,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06
ENG-Premier League,2122,Brighton,Moisés Caicedo,ECU,MF,19.0,2001.0,8,8,660,7.3,1,1,2,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27
ENG-Premier League,2122,Brighton,Neal Maupay,FRA,FW,24.0,1996.0,32,25,2276,25.3,8,2,10,7,1,2,7,0,0.32,0.08,0.4,0.28,0.36
ENG-Premier League,2122,Brighton,Pascal Groß,GER,MF,30.0,1991.0,29,24,2038,22.6,2,4,6,2,0,1,1,0,0.09,0.18,0.26,0.09,0.26
ENG-Premier League,2122,Brighton,Robert Sánchez,ESP,GK,23.0,1997.0,37,37,3329,37.0,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Shane Duffy,IRL,DF,29.0,1992.0,18,15,1436,16.0,1,0,1,1,0,0,7,0,0.06,0.0,0.06,0.06,0.06
ENG-Premier League,2122,Brighton,Solly March,ENG,MF,27.0,1994.0,31,17,1746,19.4,0,2,2,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2122,Brighton,Steven Alzate,COL,MF,22.0,1998.0,9,5,404,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Tariq Lamptey,GHA,"MF,DF",20.0,2000.0,30,16,1561,17.3,0,2,2,0,0,0,4,0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2122,Brighton,Taylor Richards,ENG,MF,20.0,2000.0,2,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Brighton,Yves Bissouma,MLI,MF,24.0,1996.0,26,25,2111,23.5,1,2,3,1,0,0,10,0,0.04,0.09,0.13,0.04,0.13
ENG-Premier League,2122,Burnley,Aaron Lennon,ENG,"MF,FW",34.0,1987.0,28,17,1551,17.2,2,0,2,2,0,0,2,0,0.12,0.0,0.12,0.12,0.12
ENG-Premier League,2122,Burnley,Ashley Barnes,ENG,FW,31.0,1989.0,23,8,808,9.0,1,0,1,0,1,1,4,0,0.11,0.0,0.11,0.0,0.0
ENG-Premier League,2122,Burnley,Ashley Westwood,ENG,MF,31.0,1990.0,27,26,2287,25.4,0,3,3,0,0,0,7,0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2122,Burnley,Ben Mee,ENG,DF,31.0,1989.0,21,21,1839,20.4,3,0,3,3,0,0,3,0,0.15,0.0,0.15,0.15,0.15
ENG-Premier League,2122,Burnley,Charlie Taylor,ENG,DF,27.0,1993.0,31,30,2731,30.3,0,3,3,0,0,0,3,0,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2122,Burnley,Chris Wood,NZL,FW,29.0,1991.0,17,17,1367,15.2,3,0,3,3,0,0,1,0,0.2,0.0,0.2,0.2,0.2
ENG-Premier League,2122,Burnley,Connor Roberts,WAL,DF,25.0,1995.0,21,19,1692,18.8,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11
ENG-Premier League,2122,Burnley,Dale Stephens,ENG,MF,32.0,1989.0,3,1,124,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Burnley,Dwight McNeil,ENG,MF,21.0,1999.0,38,35,3107,34.5,0,1,1,0,0,0,1,0,0.0,0.03,0.03,0.0,0.03
ENG-Premier League,2122,Burnley,Erik Pieters,NED,DF,32.0,1988.0,12,8,730,8.1,0,1,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12
ENG-Premier League,2122,Burnley,Jack Cork,ENG,MF,32.0,1989.0,20,20,1670,18.6,1,0,1,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05
ENG-Premier League,2122,Burnley,James Tarkowski,ENG,DF,28.0,1992.0,35,35,3106,34.5,1,2,3,1,0,0,11,0,0.03,0.06,0.09,0.03,0.09
ENG-Premier League,2122,Burnley,Jay Rodriguez,ENG,FW,32.0,1989.0,29,13,1382,15.4,2,2,4,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26
ENG-Premier League,2122,Burnley,Josh Brownhill,ENG,MF,25.0,1995.0,35,32,2955,32.8,2,3,5,2,0,0,10,0,0.06,0.09,0.15,0.06,0.15
ENG-Premier League,2122,Burnley,Jóhann Berg Guðmundsson,ISL,MF,30.0,1990.0,18,13,1102,12.2,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2122,Burnley,Kevin Long,IRL,DF,30.0,1990.0,6,4,410,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Burnley,Matthew Lowton,ENG,DF,32.0,1989.0,25,20,1772,19.7,1,2,3,1,0,0,3,1,0.05,0.1,0.15,0.05,0.15
ENG-Premier League,2122,Burnley,Matěj Vydra,CZE,FW,29.0,1992.0,22,5,679,7.5,2,3,5,2,0,0,1,0,0.27,0.4,0.66,0.27,0.66
ENG-Premier League,2122,Burnley,Maxwel Cornet,CIV,"FW,MF",24.0,1996.0,26,21,1766,19.6,9,1,10,9,0,1,2,0,0.46,0.05,0.51,0.46,0.51
ENG-Premier League,2122,Burnley,Nathan Collins,IRL,DF,20.0,2001.0,19,18,1670,18.6,2,0,2,2,0,0,2,1,0.11,0.0,0.11,0.11,0.11
ENG-Premier League,2122,Burnley,Nick Pope,ENG,GK,29.0,1992.0,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Burnley,Wayne Hennessey,WAL,GK,34.0,1987.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Burnley,Wout Weghorst,NED,FW,28.0,1992.0,20,17,1450,16.1,2,3,5,2,0,0,3,0,0.12,0.19,0.31,0.12,0.31
ENG-Premier League,2122,Chelsea,Andreas Christensen,DEN,DF,25.0,1996.0,19,17,1496,16.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Chelsea,Antonio Rüdiger,GER,DF,28.0,1993.0,34,34,3035,33.7,3,0,3,3,0,0,9,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2122,Chelsea,Ben Chilwell,ENG,MF,24.0,1996.0,7,6,542,6.0,3,1,4,3,0,0,0,0,0.5,0.17,0.66,0.5,0.66
ENG-Premier League,2122,Chelsea,Callum Hudson-Odoi,ENG,MF,20.0,2000.0,15,11,962,10.7,1,2,3,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28
ENG-Premier League,2122,Chelsea,Christian Pulisic,USA,"MF,FW",22.0,1998.0,22,13,1290,14.3,6,2,8,6,0,0,2,0,0.42,0.14,0.56,0.42,0.56
ENG-Premier League,2122,Chelsea,César Azpilicueta,ESP,"DF,MF",31.0,1989.0,27,24,2070,23.0,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13
ENG-Premier League,2122,Chelsea,Edouard Mendy,SEN,GK,29.0,1992.0,34,34,3060,34.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Chelsea,Emerson Palmieri,ITA,"DF,MF",26.0,1994.0,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Chelsea,Hakim Ziyech,MAR,"MF,FW",28.0,1993.0,23,14,1319,14.7,4,3,7,4,0,0,3,0,0.27,0.2,0.48,0.27,0.48
ENG-Premier League,2122,Chelsea,Jorginho,ITA,MF,29.0,1991.0,29,26,2273,25.3,6,2,8,0,6,7,5,0,0.24,0.08,0.32,0.0,0.08
ENG-Premier League,2122,Chelsea,Kai Havertz,GER,"FW,MF",22.0,1999.0,29,22,1809,20.1,8,3,11,8,0,0,3,0,0.4,0.15,0.55,0.4,0.55
ENG-Premier League,2122,Chelsea,Kenedy,BRA,MF,25.0,1996.0,1,1,58,0.6,0,1,1,0,0,0,0,0,0.0,1.55,1.55,0.0,1.55
ENG-Premier League,2122,Chelsea,Kepa Arrizabalaga,ESP,GK,26.0,1994.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Chelsea,Malang Sarr,FRA,DF,22.0,1999.0,8,6,546,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Chelsea,Marcos Alonso,ESP,MF,30.0,1990.0,28,25,2167,24.1,4,4,8,4,0,0,8,0,0.17,0.17,0.33,0.17,0.33
ENG-Premier League,2122,Chelsea,Mason Mount,ENG,MF,22.0,1999.0,32,27,2363,26.3,11,10,21,10,1,1,4,0,0.42,0.38,0.8,0.38,0.76
