#,Age,club,season,position,player_name,market_value_eur
65,18.0,Arsenal,2122,Central Midfield,Salah Oulad,
8,23.0,Arsenal,2122,Attacking Midfield,Martin Ødegaard,45000000.0
10,21.0,Arsenal,2122,Attacking Midfield,Emile Smith Rowe,40000000.0
82,18.0,Arsenal,2122,Attacking Midfield,Omari Hutchinson,
11,21.0,Arsenal,2122,Left Winger,Gabriel Martinelli,40000000.0
24,22.0,Arsenal,2122,Left Winger,Reiss Nelson,6500000.0
78,18.0,Arsenal,2122,Left Winger,Marcelo Flores,1500000.0
7,20.0,Arsenal,2122,Right Winger,Bukayo Saka,65000000.0
19,27.0,Arsenal,2122,Right Winger,Nicolas Pépé,25000000.0
14,23.0,Arsenal,2122,Centre-Forward,Eddie Nketiah,16000000.0
-,33.0,Arsenal,2122,Centre-Forward,Pierre-Emerick Aubameyang,15000000.0
9,31.0,Arsenal,2122,Centre-Forward,Alexandre Lacazette,15000000.0
26,20.0,Arsenal,2122,Centre-Forward,Folarin Balogun,4000000.0
58,19.0,Arsenal,2122,Centre-Forward,Mika Biereth,600000.0
1,25.0,Arsenal,2223,Goalkeeper,Aaron Ramsdale,40000000.0
30,29.0,Arsenal,2223,Goalkeeper,Matt Turner,8000000.0
-,21.0,Arsenal,2223,Goalkeeper,Karl Hein,1500000.0
-,22.0,Arsenal,2223,Goalkeeper,James Hillson,
12,22.0,Arsenal,2223,Centre-Back,William Saliba,65000000.0
6,25.0,Arsenal,2223,Centre-Back,Gabriel,55000000.0
15,23.0,Arsenal,2223,Centre-Back,Jakub Kiwior,25000000.0
-,24.0,Arsenal,2223,Centre-Back,Auston Trusty,10000000.0
16,27.0,Arsenal,2223,Centre-Back,Rob Holding,8000000.0
35,26.0,Arsenal,2223,Left-Back,Oleksandr Zinchenko,42000000.0
3,26.0,Arsenal,2223,Left-Back,Kieran Tierney,25000000.0
-,18.0,Arsenal,2223,Left-Back,Lino Sousa,500000.0
4,25.0,Arsenal,2223,Right-Back,Ben White,55000000.0
